"","STATEFP.x","COUNTYFP","TRACTCE","BLKGRPCE","GEOID.x","GEOIDFQ.x","NAMELSAD.x","MTFCC","FUNCSTAT","ALAND.x","AWATER.x","INTPTLAT","INTPTLON","STATEFP.y","PLACEFP","PLACENS","GEOIDFQ.y","GEOID.y","NAME","NAMELSAD.y","STUSPS","STATE_NAME","LSAD","ALAND.y","AWATER.y","geometry"
"368","37","119","006220","1","371190062201","1500000US371190062201","Block Group 1","G5030","S",4383737,7729225,"+35.4401937","-080.9261220","37","14700","02406314","1600000US3714700","3714700","Cornelius","Cornelius town","NC","North Carolina","43",32878545,1201172,list(list(c(1416583.25687293, 1416600.66082777, 1416631.38416503, 1416662.11447383, 1416710.24375969, 1416758.37264669, 1416799.48979824, 1416840.61384735, 1416881.73043793, 1416911.11718811, 1416972.11131394, 1417017.15595955, 1417067.93040275, 1417118.99510888, 1417183.96657176, 1417248.93034252, 1417303.55683605, 1417358.18298508, 1417403.94683796, 1417414.77866729, 1417427.27538837, 1417446.33427358, 1417520.15502687, 1417593.70286059, 1417666.95246083, 1417752.68764028, 1417923.56090163, 1418008.99678237, 
1418091.56882532, 1418097.37017459, 1418165.91371997, 1418229.40457802, 1418271.08465001, 1418296.97862047, 1418328.24865243, 1418350.73091609, 1418365.04226807, 1418370.12056652, 1418377.9834079, 1418380.71651716, 1418403.03502129, 1418425.34622271, 1418455.29802744, 1418489.56599194, 1418546.13280619, 1418581.62851829, 1418629.89114269, 1418683.09554165, 1418718.30866769, 1418786.01600125, 1418841.6687934, 1418903.60305941, 1418912.19822767, 1418960.0885248, 1419010.51358011, 1419082.75224143, 
1419121.90624376, 1419163.33751299, 1419202.03608661, 1419255.02734436, 1419302.02731381, 1419373.16290849, 1419456.54227049, 1419523.45604353, 1419578.17318549, 1419745.60101827, 1420085.67750664, 1420312.3517851, 1420597.34012931, 1420876.72255776, 1421120.15181847, 1421325.8928013, 1421548.32959142, 1421823.38122909, 1422203.89286064, 1422497.70851237, 1422762.67844855, 1423233.48775332, 1423481.90614512, 1423755.39543825, 1424044.24716461, 1424234.27715248, 1424415.72627453, 1425017.94851895, 
1425106.40522197, 1425414.67662131, 1425801.05599269, 1426125.96673107, 1426372.37956429, 1426718.50393352, 1427170.2677742, 1427446.40653383, 1429637.17338451, 1430371.09909414, 1430864.68153905, 1433297.93420604, 1433365.18582019, 1435753.71004803, 1435745.89330908, 1435766.88411871, 1435821.75708845, 1435967.32641113, 1436001.44407867, 1436023.31905827, 1436092.23312143, 1436133.52458753, 1436176.82395274, 1436280.62992757, 1436348.75388572, 1436512.94251585, 1436566.12308388, 1436636.82254799, 
1436699.24035416, 1436796.10781026, 1436833.50727661, 1436858.96885092, 1436900.95936079, 1436938.82287444, 1437007.74997016, 1437044.05527918, 1437069.44048437, 1437110.48182967, 1437229.02876973, 1437412.58285878, 1437639.80320627, 1437635.50325921, 1437633.59908577, 1437624.79818178, 1437613.67751786, 1437611.37167407, 1437594.49666877, 1437566.31379193, 1437533.16584933, 1437498.08580366, 1437444.54454233, 1437394.85318009, 1437327.09513497, 1437147.4951396, 1436855.05215072, 1436759.34947229, 
1436708.4784204, 1436663.92962187, 1436622.92612494, 1436575.32947804, 1436518.23765242, 1436498.75674763, 1436457.48146581, 1436273.29712603, 1436235.73958415, 1436177.53050338, 1436156.70560438, 1436143.2286063, 1436118.24170058, 1436089.63282352, 1436029.52041635, 1435949.94105969, 1435944.17216613, 1435903.15957057, 1435875.46444157, 1435853.191795, 1435834.00717573, 1435818.29864479, 1435808.45540392, 1435805.5227542, 1435718.06433012, 1435682.80103793, 1435609.15068913, 1435565.68047006, 1435509.49488379, 
1435457.99727967, 1435353.10385223, 1435304.57681467, 1435248.00835847, 1435153.25831966, 1435101.49568597, 1434942.48737454, 1434921.28754708, 1434656.31738, 1434403.50206895, 1434315.0062953, 1434164.31126979, 1434015.0059906, 1433972.89981523, 1433936.59797031, 1433873.07424677, 1433815.06388635, 1433718.48491631, 1433581.13319046, 1433514.93223011, 1433001.45162167, 1432409.21568285, 1432272.27211087, 1432189.87259831, 1432164.21243403, 1432120.00051394, 1432073.12898522, 1432013.89964651, 1431951.47788661, 
1431902.48190795, 1431864.41734758, 1431827.63493512, 1431717.6691203, 1431638.18221624, 1431364.09644808, 1431174.89250333, 1431068.64503282, 1430933.7916565, 1430885.74996101, 1430813.7100248, 1430772.17832848, 1430691.11537946, 1430644.87760206, 1430537.06826996, 1430421.28297327, 1430159.04539138, 1430095.97568932, 1429990.35903637, 1429915.88632172, 1429836.73895651, 1429788.30505681, 1429749.32877935, 1429715.18812288, 1429650.01845764, 1429611.43804876, 1429533.77965256, 1429446.63211051, 
1429383.88375549, 1429295.76218047, 1429194.57734627, 1429159.0071628, 1429082.49848587, 1429008.76171888, 1428926.75548585, 1428834.72085153, 1428719.29695213, 1428577.13022606, 1428472.48522028, 1428215.98569568, 1428085.62546538, 1427959.78943179, 1427845.04429918, 1427741.37599164, 1427429.25851328, 1426704.37731699, 1426518.67526245, 1426413.47822876, 1426306.42375086, 1426201.38371635, 1426074.90642016, 1425911.19934664, 1425795.51637375, 1425632.1791625, 1425489.86846115, 1425254.9863488, 
1425065.02148005, 1424436.21886226, 1423906.87389718, 1423704.03859568, 1423528.77460968, 1423490.61576705, 1423299.40299753, 1423065.9746317, 1422840.47389226, 1422724.58537766, 1422644.21072605, 1422583.25955402, 1422364.00534298, 1422256.44872808, 1422217.01293268, 1422131.86531143, 1422097.50697969, 1422025.80476187, 1421922.67981907, 1421921.92956411, 1421918.28628478, 1421909.0247791, 1421884.21865956, 1421844.76143372, 1421803.51003111, 1421748.52236319, 1421734.17620156, 1421713.55403497, 
1421668.14703682, 1421622.04841358, 1421338.2447164, 1419995.18795569, 1419815.78426381, 1419689.36293054, 1419618.43331344, 1419461.79619732, 1419363.61503708, 1419139.13645429, 1419005.37874827, 1417452.23275615, 1417193.62026782, 1417182.71459798, 1417176.57097077, 1417152.24418016, 1417129.81216737, 1417095.56352533, 1417076.44412298, 1417067.45142683, 1417048.83454188, 1417032.42821381, 1416959.49036121, 1416920.40586482, 1416871.71200556, 1416822.72065344, 1416773.72964163, 1416725.03679936, 
